backend,experiment,exp_id,mean_input_tokens,mean_output_tokens,concurrency,model,ttft_p50_s,ttft_p95_s,ttft_p99_s,ttft_mean_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,e2e_mean_s,output_tokens_per_s,requests_per_s,num_completed_requests,num_requests_started,error_rate,num_errors,summary_path,gpu_util_mean,gpu_mem_used_mb_mean,gpu_power_w_mean,cpu_pct_mean,ram_pct_mean,billing,billing_label,cost_per_hour_usd,approx_duration_s,approx_total_cost_usd,cost_per_request_usd,cost_per_1m_output_tokens_usd
ecs,concurrency,concurrency_c32_in550_out150,550,150,32,Qwen/Qwen2.5-7B-Instruct,0.5917278340002667,0.7556740975490356,0.7701598449096309,0.6095398917199418,6.28432308399988,6.493811824850127,6.532516422259887,6.302288229200058,444.72687771643393,2.487286788123233,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/concurrency_c32_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,hourly,Hourly,1.006,20.102225540998912,0.005617455248401362,0.00011234910496802725,0.7489940331201816
ecs,concurrency,concurrency_c4_in550_out150,550,150,4,Qwen/Qwen2.5-7B-Instruct,0.2559217499992883,0.4478916438997657,0.4479907529103184,0.2692517567599134,5.445976042000439,5.576247668749784,5.592915106080891,5.447086955900049,116.97801238738694,0.654166269921636,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/concurrency_c4_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,hourly,Hourly,1.006,76.43316737500027,0.021358823994236185,0.00042717647988472373,2.8478431992314914
ecs,concurrency,concurrency_c64_in550_out150,550,150,64,Qwen/Qwen2.5-7B-Instruct,0.6173011874998338,0.7468436579999433,0.7785765533191442,0.6090222257600181,7.096843583500231,7.366797906250303,7.426073649659156,7.048433075859939,506.5961718477891,2.8387099173360366,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/concurrency_c64_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,hourly,Hourly,1.006,17.61363487500057,0.004922032412291826,9.844064824583653e-05,0.6562709883055768
ecs,concurrency,concurrency_c8_in550_out150,550,150,8,Qwen/Qwen2.5-7B-Instruct,0.5232399374999659,0.7584098453506158,0.7593182650005292,0.4965978433399505,5.8024299165008415,5.948189791599816,5.948613164421113,5.769072314140139,197.6163806163076,1.1052370280554116,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/concurrency_c8_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,hourly,Hourly,1.006,45.23916475000078,0.012641833260694662,0.00025283666521389324,1.6855777680926216
selfhost,concurrency,concurrency_c16_in550_out150,550,150,16,Qwen/Qwen2.5-7B-Instruct,0.1350168960007067,3.2163141899503898,3.2324985714204013,0.7755258108201087,3.2937673755004653,6.463012780949794,6.510610494329885,3.9420742216198414,518.3594025266466,2.8978052466829527,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/concurrency_c16_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,electricity,Electricity,0.0525,17.254437667001184,0.0002516272159771006,5.032544319542012e-06,0.03355029546361342
selfhost,concurrency,concurrency_c1_in550_out150,550,150,1,Qwen/Qwen2.5-7B-Instruct,0.1722882715002924,0.4062444890995719,0.4732839184101611,0.193142160780153,3.1575913959995887,3.3801307828496645,3.427175220910467,3.190433964160038,55.81040638760156,0.3122435178896809,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/concurrency_c1_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,electricity,Electricity,0.0525,160.13142670800153,0.002335249972825022,4.670499945650044e-05,0.3113666630433363
selfhost,concurrency,concurrency_c2_in550_out150,550,150,2,Qwen/Qwen2.5-7B-Instruct,0.1025474584994299,0.2021367959001509,0.2664823548305137,0.12990961915988,3.161204270500093,3.3286765475507307,3.353251047590529,3.1763250216399683,108.00196760343842,0.6037002101925009,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/concurrency_c2_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,electricity,Electricity,0.0525,82.822565167,0.0012078290753520832,2.4156581507041664e-05,0.1610438767136111
selfhost,concurrency,concurrency_c32_in550_out150,550,150,32,Qwen/Qwen2.5-7B-Instruct,1.8638156665001588,4.162141457850065,5.561693517330496,1.810256198300085,5.041769687500164,7.318466249700849,8.721684118489447,4.970378955800043,427.710457417087,2.396405521162523,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/concurrency_c32_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,electricity,Electricity,0.0525,20.86458220799977,0.00030427515719999663,6.085503143999932e-06,0.04057002095999955
selfhost,concurrency,concurrency_c4_in550_out150,550,150,4,Qwen/Qwen2.5-7B-Instruct,0.1015701879996413,0.2087375562497982,0.2244725119209215,0.1268265125599282,3.1671202084999095,3.5234579830000254,3.5846312216605476,3.2159322749399144,197.5391760080687,1.1050524502577126,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/concurrency_c4_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,electricity,Electricity,0.0525,45.24672108399864,0.0006598480158083134,1.3196960316166269e-05,0.08797973544110844
selfhost,concurrency,concurrency_c64_in550_out150,550,150,64,Qwen/Qwen2.5-7B-Instruct,2.4361393755007157,4.835543966850037,6.497040343580447,2.2844826566201664,5.540414937499918,7.99458529200083,9.65660627258927,5.447846660900141,303.55510426459784,1.6958385713106026,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/concurrency_c64_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,electricity,Electricity,0.0525,29.483938416000456,0.0004299741019000066,8.599482038000133e-06,0.057329880253334214
selfhost,concurrency,concurrency_c8_in550_out150,550,150,8,Qwen/Qwen2.5-7B-Instruct,0.1289529579998998,0.2843967708001401,0.3797189806714774,0.1635917241601055,3.2591647079989343,3.422575510050956,3.4631159998301153,3.258304865020109,338.36128179277466,1.8898641744457925,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/concurrency_c8_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,electricity,Electricity,0.0525,26.456927791999988,0.0003858301969666665,7.71660393933333e-06,0.0514440262622222
